film,Iron Man,The Incredible hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of the Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of the Galaxy Volume 2,Spider-Man: Homecoming,Thor: Ragnorok,Black Panther,Avengers Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers Endgame,Spider-Man: Far From Home,total kills
Iron Man kills,35,0,38,0,0,128,50,0,0,0,61,0,0,0,0,0,0,0,1,0,0,38,0,351
Pepper Potts kills,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8
Captain America kills,0,0,0,0,54,19,0,0,27,38,0,0,7,0,0,0,0,0,5,0,0,0,0,150
Thor kills,0,0,0,75,0,54,0,21,0,0,148,0,0,0,0,0,320,0,56,0,0,0,0,674
Hulk kills,0,45,0,0,0,76,0,0,0,0,108,0,0,0,0,0,23,0,31,0,0,23,0,306
Black Widow kills,0,0,12,0,0,15,0,0,2,0,14,0,5,0,0,0,0,0,3,0,0,0,0,51
Hawkeye kills,0,0,0,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,6,0,24
Falcon kills,0,0,0,0,0,0,0,0,9,0,0,0,11,0,0,0,0,0,7,0,0,1,0,28
Warmachine kills,0,0,13,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,56,0,0,3,0,82
Scarlet Witch kills,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,36,0,0,0,0,59
Vision kills,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,15
Quicksilver kills,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18
Nick Fury kills,0,0,4,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20
Abomination kills,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Obidiah Stan kills,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Whiplash kills,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Loki kills,0,0,0,3,0,3,0,9,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,27
Odin kills,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Heimdall kills,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
Malekith kills,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
The Winter Soldier kills,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,6,0,0,0,0,29
Red Skull kills,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Korg kills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
Ultron kills,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Aldrich Killian kills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharon Carter kills,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Star-Lord kills,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Gamora kills,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4
Rocket Raccoon kills,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Groot kills,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,7,0,0,0,0,21
Drax kills,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,6
Nebula kills,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4
Yondu kills,0,0,0,0,0,0,0,0,0,55,0,0,0,0,151,0,0,0,0,0,0,0,0,206
Ronan kills,0,0,0,0,0,0,0,0,0,79000,0,0,0,0,0,0,0,0,0,0,0,0,0,79000
Thanos kills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,54
Corvus Glaive kills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
Ant-Man kills,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
The Wasp kills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
Yellow Jacket kills,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
Hank Pym kills,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
Barron Zemo kills,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
Black Panther kills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12,0,0,7,0,45
Spider-Man kills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35
Everett Ross kills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
Killmonger kills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
M'Baku kills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,9
Okoye kills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,5
Doctor Strange kills,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
Wong kills,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
Mordo kills,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
The Ancient One kills,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7
Kaecillius kills,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9
