id,film,year released,directors,producers,box office gross
1,Iron Man,2008,Jon Favreau,Kevin Feige and Avi Arad,585796247.00
2,The Incredible hulk,2008,Louis Leterrier,Kevin Feige and Avi Arad,264770996.00
3,Iron Man 2,2010,Jon Favreau,Kevin Feige,623933331.00
4,Thor,2011,Kenneth Branagh,Kevin Feige,449326618.00
5,Captain America: The First Avenger,2011,Joe Johnston,Kevin Feige,370569774.00
6,The Avengers,2012,Joss Whedon,Kevin Feige,1520538536.00
7,Iron man 3,2013,Shane Black,Kevin Feige,1215577205.00
8,Thor: The Dark World,2013,Alan Taylor,Kevin Feige,644783140.00
9,Captain America: The Winter Soldier,2014,Anthony and Joe Russo,Kevin Feige,714421503.00
10,Guardians of the Galaxy,2014,James Gunn,Kevin Feige,773350147.00
11,Avengers: Age of Ultron,2015,Joss Whedon,Kevin Feige,1405018048.00
12,Ant-Man,2015,Peyton Reed,Kevin Feige,519311965.00
13,Captain America: Civil War,2016,Anthony and Joe Russo,Kevin Feige,1155046416.00
14,Doctor Strange,2016,Scott Derrickson,Kevin Feige,677796076.00
15,Guardians of the Galaxy Volume 2,2017,James Gunn,Kevin Feige,863756051.00
16,Spider-Man: Homecoming,2017,Jon Watts,Kevin Feige and Amy Pascal,880166924.00
17,Thor: Ragnorok,2017,Taika Waititi,Kevin Feige,855301806.00
18,Black Panther,2018,Ryan Coogler,Kevin Feige,1349926083.00
19,Avengers Infinity War,2018,Anthony and Joe Russo,Kevin Feige,2052415039.00
20,Ant-Man and the Wasp,2018,Peyton Reed,Kevin Feige and Stephen Broussard,622674139.00
21,Captain Marvel,2019,Anna Boden and Ryan Fleck,Kevin Feige,1131416446.00
22,Avengers Endgame,2019,Anthony and Joe Russo,Kevin Feige,2799439100.00
23,Spider-Man: Far From Home,2019,Jon Watts,Kevin Feige and Amy Pascal,1131927996.00
